Model,Optimizer,Test Loss,Test Perplexity,Val Loss (Best),Training Time (min),Epochs Run
RNN,Adam,6.9803514982524675,1075.2962646484375,7.004247194842288,1.3373631159464519,6
RNN,RMSprop,6.980970840705068,1075.9625244140625,7.019355453942952,1.5128448049227396,7
RNN,SGD,5.925076544284821,374.30706787109375,5.95387047215512,3.650293465455373,20
LSTM,Adam,5.8697020442862256,354.14337158203125,5.904413649910374,3.388498349984487,10
LSTM,RMSprop,5.860386823353014,350.8598327636719,5.889730917780023,3.1381009896596272,10
LSTM,SGD,5.954165292413611,385.3551940917969,5.987508805174577,5.758454163869222,20
Transformer,Adam,5.959767799628408,387.5201416015625,5.995591951043982,3.2582488497098288,7
Transformer,RMSprop,6.00903416307349,407.0899353027344,6.037592555347242,4.959627111752828,11
Transformer,SGD,5.880531696896804,357.99957275390625,5.899161373314104,6.158946426709493,14
